Biological Process	Number of genes
negative regulation of cellular carbohydrate metabolic process	1
positive regulation of myotube differentiation	1
Schwann cell differentiation	1
response to food	1
negative regulation of interleukin-6 production	1
response to fluid shear stress	1
regulation of CD4-positive, alpha-beta T cell differentiation	1
positive regulation of heart contraction	1
negative regulation of cardiac muscle tissue development	1
protein localization to cilium	1
RNA phosphodiester bond hydrolysis, exonucleolytic	1
regulation of cellular response to drug	1
negative regulation of leukocyte migration	1
regulation of glycoprotein biosynthetic process	1
negative regulation of histone modification	1
DNA damage response, detection of DNA damage	1
neutral lipid biosynthetic process	1
acylglycerol biosynthetic process	1
calcium ion-regulated exocytosis of neurotransmitter	1
brown fat cell differentiation	1
adipose tissue development	1
pri-miRNA transcription by RNA polymerase II	1
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	1
positive regulation of cardiocyte differentiation	1
regulation of systemic arterial blood pressure by hormone	1
NADH metabolic process	1
nucleotide-excision repair, DNA incision	1
T cell homeostasis	1
regulation of activated T cell proliferation	1
positive regulation of alpha-beta T cell differentiation	1
inositol phosphate-mediated signaling	1
establishment of endothelial barrier	1
rRNA modification	1
skeletal muscle contraction	1
positive regulation of smooth muscle cell migration	1
regulation of adenylate cyclase activity	1
negative regulation of carbohydrate metabolic process	1
neutral lipid catabolic process	1
acylglycerol catabolic process	1
inner ear receptor cell development	1
dendritic cell differentiation	1
regulation of p38MAPK cascade	1
phosphatidic acid biosynthetic process	1
chondroitin sulfate metabolic process	1
plasma membrane fusion	1
negative regulation of Notch signaling pathway	1
vascular endothelial cell proliferation	1
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	1
regulation of vascular endothelial cell proliferation	1
negative regulation of ubiquitin-dependent protein catabolic process	1
translesion synthesis	1
response to testosterone	1
negative regulation of I-kappaB kinase/NF-kappaB signaling	1
phosphatidic acid metabolic process	1
mitochondrion localization	1
phagosome maturation	1
DNA replication initiation	1
regulation of lipid storage	1
protein exit from endoplasmic reticulum	1
CENP-A containing nucleosome assembly	1
negative regulation of osteoblast differentiation	1
chondroitin sulfate proteoglycan metabolic process	1
activated T cell proliferation	1
CENP-A containing chromatin organization	1
response to dexamethasone	1
pyrimidine-containing compound biosynthetic process	1
regulation of synaptic vesicle cycle	1
regulation of cilium assembly	1
mitotic nuclear envelope disassembly	1
mitotic metaphase plate congression	1
lactation	1
glial cell migration	1
chromatin remodeling at centromere	1
regulation of interferon-beta production	1
T cell selection	1
plasma lipoprotein particle organization	1
regulation of release of cytochrome c from mitochondria	1
regulation of glycoprotein metabolic process	1
positive regulation of cell-matrix adhesion	1
negative regulation of myeloid leukocyte differentiation	1
intrinsic apoptotic signaling pathway in response to oxidative stress	1
positive regulation of cell killing	1
DNA-templated transcriptional preinitiation complex assembly	1
regulation of response to reactive oxygen species	1
regulation of membrane depolarization	1
pyrimidine nucleotide metabolic process	1
male meiotic nuclear division	1
negative regulation of nucleotide biosynthetic process	1
interferon-beta production	1
negative regulation of stress-activated MAPK cascade	1
regulation of nitric-oxide synthase activity	1
endocrine hormone secretion	1
negative regulation of stress-activated protein kinase signaling cascade	1
protein-lipid complex subunit organization	1
negative regulation of purine nucleotide biosynthetic process	1
negative regulation of proteasomal protein catabolic process	1
regulation of autophagy of mitochondrion	1
visual learning	1
regulation of mitotic metaphase/anaphase transition	1
membrane disassembly	1
positive regulation of neuron apoptotic process	1
nuclear envelope disassembly	1
intracellular pH reduction	1
negative regulation of lipid localization	1
regulation of systemic arterial blood pressure mediated by a chemical signal	1
tRNA aminoacylation for protein translation	1
endoplasmic reticulum organization	1
negative regulation of type I interferon production	1
pH reduction	1
regulation of DNA-dependent DNA replication	1
regulation of metaphase/anaphase transition of cell cycle	1
phosphatidylinositol-3-phosphate biosynthetic process	1
positive regulation of muscle contraction	1
multicellular organismal movement	1
musculoskeletal movement	1
glycosyl compound biosynthetic process	1
regulation of endothelial cell apoptotic process	1
metaphase/anaphase transition of mitotic cell cycle	1
protein trimerization	1
syncytium formation by plasma membrane fusion	1
mitochondrial electron transport, NADH to ubiquinone	1
hexose catabolic process	1
T-helper cell differentiation	1
tRNA aminoacylation	1
metaphase/anaphase transition of cell cycle	1
positive regulation of mitotic nuclear division	1
positive regulation of phagocytosis	1
negative regulation of cytokine-mediated signaling pathway	1
negative regulation of muscle cell apoptotic process	1
centromere complex assembly	1
amino acid activation	1
regulation of alpha-beta T cell differentiation	1
regulation of ubiquitin-protein transferase activity	1
cardiac muscle cell action potential involved in contraction	1
endothelial cell development	1
cellular biogenic amine metabolic process	1
syncytium formation	1
regulation of mitotic sister chromatid separation	1
regulation of antigen receptor-mediated signaling pathway	1
negative regulation of cellular response to oxidative stress	1
negative regulation of oxidative stress-induced cell death	1
positive regulation of chemokine production	1
circadian regulation of gene expression	1
ceramide biosynthetic process	1
negative regulation of smooth muscle cell proliferation	1
positive regulation of DNA replication	1
mitotic sister chromatid separation	1
negative regulation of response to oxidative stress	1
release of cytochrome c from mitochondria	1
glycerolipid catabolic process	1
metaphase plate congression	1
regulation of lyase activity	1
negative regulation of response to cytokine stimulus	1
endothelial cell apoptotic process	1
negative regulation of purine nucleotide metabolic process	1
regulation of monooxygenase activity	1
negative regulation of nucleotide metabolic process	1
regulation of chromosome separation	1
regulation of double-strand break repair	1
lysosome organization	1
protein transmembrane transport	1
lytic vacuole organization	1
regulation of vascular smooth muscle cell proliferation	1
vascular smooth muscle cell proliferation	1
positive regulation of osteoblast differentiation	1
negative regulation of proteolysis involved in cellular protein catabolic process	1
regulation of cellular amino acid metabolic process	1
regulation of myotube differentiation	1
glycosaminoglycan catabolic process	1
monosaccharide catabolic process	1
positive regulation of nuclear division	1
cardiac muscle cell contraction	1
NADH dehydrogenase complex assembly	1
lipid storage	1
mitochondrial respiratory chain complex I assembly	1
regulation of mitochondrial membrane potential	1
cellular iron ion homeostasis	1
DNA alkylation	1
DNA methylation	1
regulation of bone mineralization	1
cellular response to ionizing radiation	1
chromosome organization involved in meiotic cell cycle	1
aminoglycan catabolic process	1
negative regulation of endothelial cell proliferation	1
positive regulation of blood circulation	1
associative learning	1
cell redox homeostasis	1
regulation of cellular response to insulin stimulus	1
negative regulation of cellular protein catabolic process	1
glycosphingolipid metabolic process	1
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1
positive regulation of T cell differentiation	1
negative regulation of synaptic transmission	1
negative regulation of autophagy	1
regulation of phagocytosis	1
DNA synthesis involved in DNA repair	1
vasoconstriction	1
regulation of biomineral tissue development	1
animal organ regeneration	1
establishment of chromosome localization	1
negative regulation of MAP kinase activity	1
chromosome localization	1
anaphase-promoting complex-dependent catabolic process	1
negative regulation of blood vessel diameter	1
